UnitID,Institution Name,Published in-state tuition and fees 2017-18 (IC2017_AY),Published out-of-state tuition and fees 2017-18 (IC2017_AY),Books and supplies 2017-18 (IC2017_AY),On campus  room and board 2017-18 (IC2017_AY),On campus  other expenses 2017-18 (IC2017_AY),Published in-state tuition and fees 2016-17 (IC2016_AY),Published out-of-state tuition and fees 2016-17 (IC2016_AY),Books and supplies 2016-17 (IC2016_AY),On campus  room and board 2016-17 (IC2016_AY),On campus  other expenses 2016-17 (IC2016_AY),Published in-state tuition and fees 2015-16 (IC2015_AY),Published out-of-state tuition and fees 2015-16 (IC2015_AY),Books and supplies 2015-16 (IC2015_AY),On campus  room and board 2015-16 (IC2015_AY),On campus  other expenses 2015-16 (IC2015_AY),Published in-state tuition and fees 2014-15 (IC2014_AY),Published out-of-state tuition and fees 2014-15 (IC2014_AY),Books and supplies 2014-15 (IC2014_AY),On campus  room and board 2014-15 (IC2014_AY),On campus  other expenses 2014-15 (IC2014_AY),Published in-state tuition and fees 2013-14 (IC2013_AY),Published out-of-state tuition and fees 2013-14 (IC2013_AY),Books and supplies 2013-14 (IC2013_AY),On campus  room and board 2013-14 (IC2013_AY),On campus  other expenses 2013-14 (IC2013_AY),Published in-state tuition and fees 2012-13 (IC2012_AY),Published out-of-state tuition and fees 2012-13 (IC2012_AY),Books and supplies 2012-13 (IC2012_AY),On campus  room and board 2012-13 (IC2012_AY),On campus  other expenses 2012-13 (IC2012_AY),Published in-state tuition and fees 2011-12 (IC2011_AY),Published out-of-state tuition and fees 2011-12 (IC2011_AY),Books and supplies 2011-12 (IC2011_AY),On campus  room and board 2011-12 (IC2011_AY),On campus  other expenses 2011-12 (IC2011_AY),Published in-state tuition and fees 2010-11 (IC2010_AY),Published out-of-state tuition and fees 2010-11 (IC2010_AY),Books and supplies 2010-11 (IC2010_AY),On campus  room and board 2010-11 (IC2010_AY),On campus  other expenses 2010-11 (IC2010_AY)
104151,Arizona State University-Tempe,10792,27372,1125,12209,3404,10370,26470,1103,11386,3404,10158,25458,1081,11061,3404,10157,24503,1060,10010,3404,9861,23654,1040,9782,3154,9724,22977,1020,9094,3163,9720,22319,1290,11436,3102,8132,20596,1290,9706,2796
100858,Auburn University,10968,29640,1200,13332,5782,10696,28840,1200,12898,5664,10424,28040,1200,12584,5586,10200,27384,1200,12178,5586,9852,26364,1200,11552,2678,9446,25190,1100,10606,2636,8698,23272,1100,9992,2562,7900,21916,1100,9630,2510
219602,Austin Peay State University,7913,23153,1550,10223,4538,7689,22929,1550,9711,4538,7501,22333,1550,9438,4538,7168,21664,1550,9124,4538,6876,21372,1550,8549,4538,6648,20736,1550,8373,4484,6432,19992,1550,8169,4484,6048,18576,1550,7521,4484
217882,Clemson University,15116,36058,1346,9592,3520,14708,34590,1308,9144,3502,14272,33190,1308,8718,3522,13446,31462,1138,8358,6208,13054,30488,1112,8142,6194,12674,29600,1098,7914,6496,12304,28462,1090,7228,6004,11908,27376,940,7034,5178
126818,Colorado State University-Fort Collins,11395,28903,1200,11974,1360,11052,28346,1200,11110,1360,10558,27267,1140,10794,1360,9897,26277,1140,10488,2006,9313,25166,1126,10776,1988,8649,24441,1126,10278,2232,7952,23652,1126,9172,2232,6985,23095,1126,8744,2232
220075,East Tennessee State University,8679,26463,1090,7952,3585,8341,25573,1090,7952,5700,8153,24977,1090,7952,6500,7667,24011,1090,7822,6570,7249,22561,1090,7752,7516,6715,21355,1090,7860,8056,6271,19831,1090,7338,8056,5823,18351,1090,5783,7596
134097,Florida State University,5656,18786,1000,10458,4660,6507,21673,1000,10304,4764,6507,21673,1000,10264,4300,6507,21673,1000,10208,3884,6507,21673,1000,9912,4124,6402,21570,1000,9626,3892,5826,20952,1000,9412,4134,5238,19682,1000,8390,4128
139755,Georgia Institute of Technology-Main Campus,12418,33014,800,11492,4060,12212,32404,800,11148,3260,12204,32396,800,10716,2060,11394,30698,1200,10434,1720,10650,29954,1200,9814,1720,10098,29402,1200,9236,1720,9652,27862,1000,8826,1620,8716,26926,1000,8746,1500
151351,Indiana University-Bloomington,10533,34845,1034,10258,2602,10388,34246,1290,10041,3090,10388,33741,1230,9795,3126,10388,33241,1500,9493,3036,10209,32350,1500,9149,2962,10033,31483,848,8853,3382,9524,29540,824,8419,3282,9028,27689,812,7918,3232
153603,Iowa State University,8636,22472,994,8546,2430,8219,21583,995,8356,2430,7736,20856,1034,8070,2430,7731,20617,1043,7830,2430,7726,20278,1043,7721,2430,7726,19838,1043,7721,2430,7486,19358,1044,7621,2370,6997,18563,1014,7472,3438
159391,Louisiana State University and Agricultural & Mechanical College,11374,28051,1160,11750,5420,10814,27491,1160,11540,5420,9714,26877,1500,11200,3336,8750,26467,1500,10804,3096,7873,25790,1500,10804,3050,6989,22265,1500,10218,3000,6354,19362,1500,8670,2890,5764,16549,1500,8210,2870
171100,Michigan State University,14460,39406,1084,10026,2908,14062,37890,1076,9784,2368,13560,36360,1068,9524,1896,13200,34965,1060,9204,1886,12862,33750,1044,8856,1886,12622,32580,1026,8526,1854,12202,31148,996,8204,1800,11152,29108,980,7820,1738
220978,Middle Tennessee State University,8612,26348,1540,8392,4178,8280,25416,1540,8246,4162,8080,24808,1540,8106,4056,7876,24124,1540,7974,4066,7546,23002,1324,7804,4144,7210,21826,1325,7532,3057,6754,20458,2650,14826,2836,6298,18826,1000,7415,3512
176080,Mississippi State University,8318,22358,1200,9614,5238,7780,20900,1200,9418,5184,7502,20142,1200,9068,5154,7140,18478,1200,8954,5326,6772,16960,1200,8647,5051,6264,15828,1200,8486,4952,5805,14670,1200,8162,4808,5461,13801,1200,7729,4808
199193,North Carolina State University at Raleigh,9058,27406,1082,10854,2706,8880,26399,1082,10635,2442,8581,24932,1076,10311,2430,8296,23551,1076,10030,3552,8206,21661,1058,9434,3486,7788,20953,1000,8414,3442,7018,19853,1000,8536,2834,6529,19064,1000,8154,2744
204796,Ohio State University-Main Campus,10592,29696,1168,12292,2985,10037,28229,1234,11706,2870,10037,27365,1234,11706,2602,10037,26537,1248,11820,2680,10037,25757,1248,11740,2454,10037,25445,1248,11182,2452,9735,24630,1602,10782,4752,9420,23604,1554,10164,4716
214777,Pennsylvania State University-Main Campus,18436,33664,1840,11280,4788,17900,32382,1840,11230,4788,17514,31346,1840,10926,4788,17502,30452,1760,10548,4788,16992,29566,1696,10116,4788,16444,28746,1568,9702,4140,15984,28066,1536,9432,4050,15250,27114,1456,9054,3924
243780,Purdue University-Main Campus,9992,28794,1160,10030,1630,10002,28804,1220,10030,1780,10002,28804,1220,10030,1780,10002,28804,1210,10030,1760,9992,28794,1200,10300,1750,9900,28702,1370,10378,1820,9478,27646,1330,9510,2430,9070,26622,1270,9120,2360
186380,Rutgers University-New Brunswick,14638,30579,1350,12452,3137,14372,30023,1350,12260,3013,14131,29521,1350,12054,2863,13813,28591,1450,11749,2921,13499,27523,1550,11578,2841,13073,26393,1550,11412,2763,12754,25416,1550,11262,2687,12582,24044,1474,11216,2428
196097,Stony Brook University,9257,26767,900,13446,1868,8999,26239,900,12882,1868,8855,23935,900,12032,1868,8430,21850,900,11648,1868,7995,19935,900,11364,1868,7560,18180,900,10934,1868,6994,16444,900,10574,1868,6580,14990,900,10142,1868
