"UnitID","Institution Name","instate_tf_cost_2017","oostate_tf_cost_2017","books_supplies_cost_2017","oc_room_and_board_cost_2017","oc_other_cost_2017","instate_tf_cost_2016","oostate_tf_cost_2016","books_supplies_cost_2016","oc_room_and_board_cost_2016","oc_other_cost_2016","instate_tf_cost_2015","oostate_tf_cost_2015","books_supplies_cost_2015","oc_room_and_board_cost_2015","oc_other_cost_2015","instate_tf_cost_2014","oostate_tf_cost_2014","books_supplies_cost_2014","oc_room_and_board_cost_2014","oc_other_cost_2014","instate_tf_cost_2013","oostate_tf_cost_2013","books_supplies_cost_2013","oc_room_and_board_cost_2013","oc_other_cost_2013","instate_tf_cost_2012","oostate_tf_cost_2012","books_supplies_cost_2012","oc_room_and_board_cost_2012","oc_other_cost_2012","instate_tf_cost_2011","oostate_tf_cost_2011","books_supplies_cost_2011","oc_room_and_board_cost_2011","oc_other_cost_2011","instate_tf_cost_2010","oostate_tf_cost_2010","books_supplies_cost_2010","oc_room_and_board_cost_2010","oc_other_cost_2010","instate_coa_2017","oostate_coa_2017","instate_coa_2016","oostate_coa_2016","instate_coa_2015","oostate_coa_2015","instate_coa_2014","oostate_coa_2014","instate_coa_2013","oostate_coa_2013","instate_coa_2012","oostate_coa_2012","instate_coa_2011","oostate_coa_2011","instate_coa_2010","oostate_coa_2010"
207500,"University of Oklahoma-Norman Campus",11538,26919,645,10588,5612,10881,25203,714,10280,5433,10090,23476,714,9742,4614,9495,22269,720,9126,4614,8916,21105,848,8718,4959,8706,20343,1200,8382,5002,8325,19278,1043,8060,5065,7864,18295,1030,7826,3988,28383,43764,27308,41630,25160,38546,23955,36729,23441,35630,23290,34927,22493,33446,20708,31139
209551,"University of Oregon",11931,34611,1125,11450,2356,10761,33441,1122,11583,2349,10289,32024,1068,11430,2382,9918,30888,1050,11097,2340,9763,29788,1050,11109,2430,9310,28660,1050,10580,2430,8789,27653,1050,9801,2412,8190,25830,1050,9144,2412,26862,49542,25815,48495,25169,46904,24405,45375,24352,44377,23370,42720,22052,40916,20796,38436
215293,"University of Pittsburgh-Pittsburgh Campus",19080,30642,773,10950,2447,18618,29758,680,10950,2534,18192,28958,762,10900,1842,17772,28168,1170,10800,3222,17100,27106,1152,10700,3174,16590,26280,1132,9870,3122,16132,25540,1110,9430,3060,14936,24592,1076,9230,2970,33250,44812,32782,43922,31696,42462,32964,43360,32126,42132,30714,40404,29732,39140,28212,37868
218663,"University of South Carolina-Columbia",11862,31962,1044,10008,4148,11454,30882,1023,9700,4111,11482,30298,1016,9872,4201,11158,29440,1008,9248,4151,10816,28528,994,8909,4085,10488,27644,978,8459,3950,10168,26352,950,8026,3920,9786,25362,936,7764,3720,27062,47162,26288,45716,26571,45387,25565,43847,24804,42516,23875,41031,23064,39248,22206,37782
230764,"University of Utah",8884,28127,1232,9867,3690,8518,27039,1232,9406,3678,8197,26022,1006,9000,3574,7835,25057,1280,8528,5094,7457,23736,1000,8297,5166,7139,22642,996,7705,6474,6762,21388,1068,7248,6904,6272,19840,1090,6990,5832,23673,42916,22834,41355,21777,39602,22737,39959,21920,38199,22314,37817,21982,36608,20184,33752
234076,"University of Virginia-Main Campus",16853,47273,1320,11220,2820,16412,45756,1294,10726,2754,15192,44365,1270,10400,2710,13208,42394,1260,10052,2490,12668,40054,1240,9717,2450,12216,38228,1220,9419,2470,11786,36780,1184,9036,1980,10828,33774,1167,8590,1950,32213,62633,31186,60530,29572,58745,27010,56196,26075,53461,25325,51337,23986,48980,22535,45481
236948,"University of Washington-Seattle Campus",10974,35538,825,12117,2679,10753,34791,825,11691,2679,11839,34143,1206,11310,2679,12394,33513,1206,10833,2265,12397,31971,1206,10752,2679,12383,29938,1035,9969,2679,10574,28058,1035,9771,2679,8701,25329,1035,9399,2907,26595,51159,25948,49986,27034,49338,26698,47817,27034,46608,26066,43621,24059,41543,22042,38670
240444,"University of Wisconsin-Madison",10533,34783,1200,10842,3060,10488,32738,1200,10446,3096,10415,29665,1200,8804,4254,10410,26660,1200,8546,4238,10403,26653,1200,8287,4041,10378,26628,1190,8024,4170,9665,25415,1140,7724,3920,8983,24233,1100,7435,3740,25635,49885,25230,47480,24673,43923,24394,40644,23931,40181,23762,40012,22449,38199,21258,36508
221999,"Vanderbilt University",47664,47664,1294,15584,2850,45610,45610,1294,14962,2788,44712,44712,1370,14670,2780,43838,43838,1370,14382,2730,42978,42978,1370,14094,2670,42118,42118,1370,13818,2584,41332,41332,1344,13560,2318,39930,39930,1344,13058,2302,67392,67392,64654,64654,63532,63532,62320,62320,61112,61112,59890,59890,58554,58554,56634,56634
233921,"Virginia Polytechnic Institute and State University",13230,31014,1150,8920,2940,12852,29975,1210,8720,2980,12485,29129,1150,8290,2930,12017,28048,1130,8270,4420,11455,27211,1120,8170,5420,10923,25915,1100,8000,5490,10509,24480,1080,7080,5200,9459,23217,1100,7000,4900,26240,44024,25762,42885,24855,41499,25837,41868,26165,41921,25513,40505,23869,37840,22459,36217
